Standort;Messzeitpunkt;Stunde;Wochentag;Wochentag ID;Kalenderwoche;Quartal;Lokale Zeitzone;Zeitintervall;Passantenaufkommen pro Standort;Richtung;Passantentyp;Passantenanzahl;ID;Kommune
Westenhellweg (Ost);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;27;Richtung - Hansastraße;Erwachsene;13;246;Dortmund
Westenhellweg (Ost);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;27;Richtung - Hansastraße;Kinder;0;246;Dortmund
Westenhellweg (Ost);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;27;Richtung - Ostenhellweg;Kinder;2;246;Dortmund
Westenhellweg (West);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;66;Richtung - Ostenhellweg;Erwachsene;33;575;Dortmund
Westenhellweg (West);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;66;Richtung - Ostenhellweg;Kinder;0;575;Dortmund
Westenhellweg (West);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;66;Richtung - Westentor;Kinder;0;575;Dortmund
Westenhellweg (Mitte);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;38;Richtung - Hansastraße;Kinder;0;49;Dortmund
Westenhellweg (Ost);2026-01-01T07:00:00+00:00;8;Donnerstag;4;1;1;Europe/Berlin;hour;27;Richtung - Ostenhellweg;Erwachsene;12;246;Dortmund
Westenhellweg (Mitte);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;67;Richtung - Hansastraße;Erwachsene;34;49;Dortmund
Westenhellweg (Mitte);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;67;Richtung - Petrikirche;Erwachsene;33;49;Dortmund
Westenhellweg (Ost);2026-01-01T08:00:00+00:00;9;Donnerstag;4;1;1;Europe/Berlin;hour;40;Richtung - Hansastraße;Kinder;1;246;Dortmund
