location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents;towards Lappan pedestrians count;towards Markt pedestrians count;adult pedestrians count;child pedestrians count;adult towards Lappan pedestrians count;adult towards Markt pedestrians count;child towards Lappan pedestrians count;child towards Markt pedestrians count;zone 1 pedestrians count;zone 1 towards Lappan pedestrians count;zone 1 towards Markt pedestrians count;zone 2 pedestrians count;zone 2 towards Lappan pedestrians count;zone 2 towards Markt pedestrians count;collection_type
Achternstraße, Oldenburg;2025-04-09 00:00:00 +0200;Wednesday;16778;9;cloudy;;9247;7531;15997;781;8827;7170;420;361;12152;8368;3784;4626;879;3747;measured
Achternstraße, Oldenburg;2025-04-10 00:00:00 +0200;Thursday;18579;14;partly-cloudy-day;;10205;8374;17569;1010;9637;7932;568;442;13545;9283;4262;5034;922;4112;measured
Achternstraße, Oldenburg;2025-04-11 00:00:00 +0200;Friday;33;18;partly-cloudy-day;;15;18;32;1;14;18;1;0;18;13;5;15;2;13;measured
Achternstraße, Oldenburg;2025-04-11 00:00:00 +0200;Friday;20517;;;;11310;9207;19532;985;10755;8777;555;430;14638;10382;4256;5879;928;4951;measured
Achternstraße, Oldenburg;2025-04-12 00:00:00 +0200;Saturday;31770;20;partly-cloudy-day;;18300;13470;30428;1342;17551;12877;749;593;23129;16893;6236;8641;1407;7234;measured
Achternstraße, Oldenburg;2025-04-13 00:00:00 +0200;Sunday;4684;19;rain;;2816;1868;4502;182;2705;1797;111;71;3114;2308;806;1570;508;1062;measured
Achternstraße, Oldenburg;2025-04-14 00:00:00 +0200;Monday;20050;18;rain;;10913;9137;19004;1046;10338;8666;575;471;14168;9878;4290;5882;1035;4847;measured
Achternstraße, Oldenburg;2025-04-15 00:00:00 +0200;Tuesday;21976;24;rain;;12292;9684;20902;1074;11666;9236;626;448;16081;11256;4825;5895;1036;4859;measured
Achternstraße, Oldenburg;2025-04-16 00:00:00 +0200;Wednesday;20506;21;rain;;11197;9309;19478;1028;10672;8806;525;503;14067;9786;4281;6439;1411;5028;measured
Achternstraße, Oldenburg;2025-04-17 00:00:00 +0200;Thursday;21425;11;rain;;11829;9596;20347;1078;11235;9112;594;484;15722;10860;4862;5703;969;4734;measured
Achternstraße, Oldenburg;2025-04-18 00:00:00 +0200;Friday;5614;10;rain;;3361;2253;5407;207;3232;2175;129;78;4063;2916;1147;1551;445;1106;measured
Achternstraße, Oldenburg;2025-04-19 00:00:00 +0200;Saturday;34230;14;partly-cloudy-day;;19633;14597;32706;1524;18771;13935;862;662;25153;18147;7006;9077;1486;7591;measured
Achternstraße, Oldenburg;2025-04-20 00:00:00 +0200;Sunday;7012;16;partly-cloudy-day;;4176;2836;6738;274;4004;2734;172;102;5071;3627;1444;1941;549;1392;mixed
Achternstraße, Oldenburg;2025-04-21 00:00:00 +0200;Monday;7646;16;rain;;4435;3211;7296;350;4222;3074;213;137;5308;3840;1468;2338;595;1743;measured
Achternstraße, Oldenburg;2025-04-22 00:00:00 +0200;Tuesday;19826;15;rain;;10895;8931;18797;1029;10322;8475;573;456;13886;9928;3958;5940;967;4973;measured
Achternstraße, Oldenburg;2025-04-23 00:00:00 +0200;Wednesday;19575;17;rain;;10722;8853;18495;1080;10133;8362;589;491;14141;9777;4364;5434;945;4489;measured
Achternstraße, Oldenburg;2025-04-24 00:00:00 +0200;Thursday;17827;16;rain;;9711;8116;17005;822;9282;7723;429;393;12686;8811;3875;5141;900;4241;measured
Achternstraße, Oldenburg;2025-04-25 00:00:00 +0200;Friday;24541;15;partly-cloudy-day;;13465;11076;23450;1091;12906;10544;559;532;17091;12103;4988;7450;1362;6088;measured
Achternstraße, Oldenburg;2025-04-26 00:00:00 +0200;Saturday;34559;18;partly-cloudy-day;;19792;14767;33064;1495;18945;14119;847;648;25634;18442;7192;8925;1350;7575;measured
Achternstraße, Oldenburg;2025-04-27 00:00:00 +0200;Sunday;8621;18;clear-day;;4811;3810;8136;485;4536;3600;275;210;6299;4239;2060;2322;572;1750;measured
Achternstraße, Oldenburg;2025-04-28 00:00:00 +0200;Monday;17112;21;partly-cloudy-day;;9308;7804;16140;972;8791;7349;517;455;12932;8456;4476;4180;852;3328;measured
Achternstraße, Oldenburg;2025-04-29 00:00:00 +0200;Tuesday;20044;21;partly-cloudy-day;;10787;9257;18902;1142;10195;8707;592;550;14521;9810;4711;5523;977;4546;measured
Achternstraße, Oldenburg;2025-04-30 00:00:00 +0200;Wednesday;26736;23;partly-cloudy-day;;14564;12172;25476;1260;13846;11630;718;542;19999;13351;6648;6737;1213;5524;measured
Achternstraße, Oldenburg;2025-05-01 00:00:00 +0200;Thursday;9716;27;partly-cloudy-day;;5504;4212;9286;430;5252;4034;252;178;7442;4942;2500;2274;562;1712;measured
Achternstraße, Oldenburg;2025-05-02 00:00:00 +0200;Friday;27296;24;partly-cloudy-day;;15035;12261;26018;1278;14358;11660;677;601;18985;13564;5421;8311;1471;6840;measured
Achternstraße, Oldenburg;2025-05-03 00:00:00 +0200;Saturday;32797;17;rain;;18713;14084;31298;1499;17886;13412;827;672;24525;17429;7096;8272;1284;6988;measured
Achternstraße, Oldenburg;2025-05-04 00:00:00 +0200;Sunday;4799;12;partly-cloudy-day;;2696;2103;4612;187;2589;2023;107;80;3430;2327;1103;1369;369;1000;measured
Achternstraße, Oldenburg;2025-05-05 00:00:00 +0200;Monday;15924;14;partly-cloudy-day;;8666;7258;15052;872;8180;6872;486;386;11540;7797;3743;4384;869;3515;measured
Achternstraße, Oldenburg;2025-05-06 00:00:00 +0200;Tuesday;15641;14;rain;;8615;7026;14842;799;8169;6673;446;353;11108;7815;3293;4533;800;3733;measured
Achternstraße, Oldenburg;2025-05-07 00:00:00 +0200;Wednesday;16753;18;partly-cloudy-day;;9281;7472;15859;894;8773;7086;508;386;11898;8321;3577;4855;960;3895;measured
Achternstraße, Oldenburg;2025-05-08 00:00:00 +0200;Thursday;16619;17;partly-cloudy-day;;9022;7597;15759;860;8556;7203;466;394;12213;8148;4065;4406;874;3532;measured
Achternstraße, Oldenburg;2025-05-09 00:00:00 +0200;Friday;21578;20;partly-cloudy-day;;12127;9451;20577;1001;11554;9023;573;428;16353;11039;5314;5225;1088;4137;measured
Achternstraße, Oldenburg;2025-05-10 00:00:00 +0200;Saturday;34603;20;partly-cloudy-day;;19924;14679;33094;1509;19050;14044;874;635;27248;18746;8502;7355;1178;6177;measured
Achternstraße, Oldenburg;2025-05-11 00:00:00 +0200;Sunday;7195;22;clear-day;;4118;3077;6880;315;3934;2946;184;131;6028;3771;2257;1167;347;820;measured
Achternstraße, Oldenburg;2025-05-12 00:00:00 +0200;Monday;15806;19;clear-day;;8439;7367;14920;886;7945;6975;494;392;11167;7617;3550;4639;822;3817;measured
Achternstraße, Oldenburg;2025-05-13 00:00:00 +0200;Tuesday;15918;22;clear-day;;8727;7191;15045;873;8237;6808;490;383;11422;7853;3569;4496;874;3622;measured
Achternstraße, Oldenburg;2025-05-14 00:00:00 +0200;Wednesday;16220;18;partly-cloudy-day;;8886;7334;15356;864;8380;6976;506;358;12078;8027;4051;4142;859;3283;measured
Achternstraße, Oldenburg;2025-05-15 00:00:00 +0200;Thursday;16450;18;partly-cloudy-day;;9164;7286;15588;862;8691;6897;473;389;11518;8243;3275;4932;921;4011;measured
Achternstraße, Oldenburg;2025-05-16 00:00:00 +0200;Friday;19858;16;partly-cloudy-day;;11026;8832;18943;915;10503;8440;523;392;14204;10072;4132;5654;954;4700;measured
Achternstraße, Oldenburg;2025-05-17 00:00:00 +0200;Saturday;30137;19;rain;;17119;13018;28760;1377;16346;12414;773;604;21084;15719;5365;9053;1400;7653;measured
Achternstraße, Oldenburg;2025-05-18 00:00:00 +0200;Sunday;5637;18;partly-cloudy-day;;3282;2355;5378;259;3126;2252;156;103;4178;2856;1322;1459;426;1033;measured
Achternstraße, Oldenburg;2025-05-19 00:00:00 +0200;Monday;15840;20;partly-cloudy-day;;8533;7307;14899;941;8015;6884;518;423;11573;7729;3844;4267;804;3463;measured
Achternstraße, Oldenburg;2025-05-20 00:00:00 +0200;Tuesday;16478;22;partly-cloudy-day;;8898;7580;15567;911;8421;7146;477;434;11619;7980;3639;4859;918;3941;measured
Achternstraße, Oldenburg;2025-05-21 00:00:00 +0200;Wednesday;16926;19;partly-cloudy-day;;9269;7657;16114;812;8826;7288;443;369;12583;8382;4201;4343;887;3456;measured
Achternstraße, Oldenburg;2025-05-22 00:00:00 +0200;Thursday;13218;13;rain;;7103;6115;12562;656;6751;5811;352;304;9682;6256;3426;3536;847;2689;measured
